2018-08-17 10:18:27.267 INFO  FrameworkServlet 'remote': initialization started
2018-08-17 10:18:27.316 INFO  Refreshing WebApplicationContext for namespace 'rm-resolver': startup date [Fri Aug 17 10:18:27 CST 2018]; root of context hierarchy
2018-08-17 10:18:27.378 INFO  Loading XML bean definitions from ServletContext resource [/WEB-INF/rm-resolver.xml]
2018-08-17 10:18:27.581 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-common.xml]
2018-08-17 10:18:28.947 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-redis-beans.xml]
2018-08-17 10:18:29.089 INFO  Loading XML bean definitions from class path resource [META-INF/remote/rm-srv-site.xml]
2018-08-17 10:18:29.792 INFO  Loading properties file from class path resource [placeholder.properties]
2018-08-17 10:36:45.068 INFO  FrameworkServlet 'remote': initialization started
2018-08-17 10:36:45.083 INFO  Refreshing WebApplicationContext for namespace 'rm-resolver': startup date [Fri Aug 17 10:36:45 CST 2018]; root of context hierarchy
2018-08-17 10:36:45.115 INFO  Loading XML bean definitions from ServletContext resource [/WEB-INF/rm-resolver.xml]
2018-08-17 10:36:45.208 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-common.xml]
2018-08-17 10:36:45.630 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-redis-beans.xml]
2018-08-17 10:36:45.661 INFO  Loading XML bean definitions from class path resource [META-INF/remote/rm-srv-site.xml]
2018-08-17 10:36:45.988 INFO  Loading properties file from class path resource [placeholder.properties]
2018-08-17 13:27:05.651 INFO  FrameworkServlet 'remote': initialization started
2018-08-17 13:27:05.667 INFO  Refreshing WebApplicationContext for namespace 'rm-resolver': startup date [Fri Aug 17 13:27:05 CST 2018]; root of context hierarchy
2018-08-17 13:27:05.699 INFO  Loading XML bean definitions from ServletContext resource [/WEB-INF/rm-resolver.xml]
2018-08-17 13:27:05.777 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-common.xml]
2018-08-17 13:27:06.214 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-redis-beans.xml]
2018-08-17 13:27:06.230 INFO  Loading XML bean definitions from class path resource [META-INF/remote/rm-srv-site.xml]
2018-08-17 13:27:08.607 INFO  Initializing ExecutorService  'mallTaskExecutor'
2018-08-17 13:27:09.013 INFO  HV000001: Hibernate Validator 5.1.3.Final
